zipcode,city,age1,age2,age3,age4,age5,age6
Finland,Finland,681744,702748,668248,742611,752923,741840
00100 Helsinki Keskusta - Etu-Töölö   ,Helsinki ,4216,3540,2077,1851,1866,2051
00120 Punavuori   ,Helsinki ,1407,1442,907,760,730,762
00130 Kaartinkaupunki   ,Helsinki ,309,275,225,174,185,144
00140 Kaivopuisto - Ullanlinna   ,Helsinki ,1463,1471,987,915,906,926
00150 Eira - Hernesaari   ,Helsinki ,2083,2090,1221,996,882,883
00160 Katajanokka   ,Helsinki ,549,688,578,537,689,641
00170 Kruununhaka   ,Helsinki ,1352,1450,986,903,785,797
00180 Kamppi - Ruoholahti   ,Helsinki ,2740,2779,1699,1576,1295,1078
00190 Suomenlinna   ,Helsinki ,49,121,137,140,70,44
00200 Lauttasaari   ,Helsinki ,2676,3081,1889,1454,1536,1801
00210 Vattuniemi   ,Helsinki ,864,1472,977,917,1033,1071
00220 Jätkäsaari   ,Helsinki ,985,633,246,225,212,87
00230 Ilmala   ,Helsinki ,0,0,0,0,0,0
00240 Länsi-Pasila   ,Helsinki ,997,857,468,670,778,612
00250 Taka-Töölö   ,Helsinki ,2877,2396,1259,1043,1034,1178
00260 Keski-Töölö   ,Helsinki ,1119,976,619,579,633,912
00270 Pohjois-Meilahti   ,Helsinki ,1651,1452,921,903,708,746
00280 Ruskeasuo   ,Helsinki ,779,514,349,313,230,384
00290 Meilahden sairaala-alue   ,Helsinki ,25,39,15,25,24,13
00300 Pikku Huopalahti   ,Helsinki ,862,825,735,843,641,660
00310 Kivihaka   ,Helsinki ,161,194,101,112,109,96
00320 Etelä-Haaga   ,Helsinki ,2424,1888,1044,941,927,1212
00330 Munkkiniemi   ,Helsinki ,1133,1318,1076,1042,974,1648
00340 Kuusisaari-Lehtisaari   ,Helsinki ,135,175,222,280,211,233
00350 Munkkivuori-Niemenmäki   ,Helsinki ,1782,1593,1174,1136,937,1057
00360 Pajamäki   ,Helsinki ,369,368,198,226,209,240
00370 Reimarla   ,Helsinki ,1160,1082,773,746,724,753
00380 Pitäjänmäen teollisuusalue   ,Helsinki ,653,776,613,615,499,327
00390 Konala   ,Helsinki ,977,1045,821,873,735,547
00400 Pohjois-Haaga   ,Helsinki ,1936,1714,1005,1004,1008,1362
00410 Malminkartano   ,Helsinki ,1900,1376,1011,1132,997,432
00420 Kannelmäki   ,Helsinki ,2481,2130,1580,1723,1814,1694
00430 Maununneva   ,Helsinki ,479,594,714,730,729,366
00440 Lassila   ,Helsinki ,850,688,382,460,683,795
