zipcode,city,female,male
Finland,Finland,2785818,2701490
00100 Helsinki Keskusta - Etu-Töölö   ,Helsinki ,9404,8464
00120 Punavuori   ,Helsinki ,3680,3346
00130 Kaartinkaupunki   ,Helsinki ,804,732
00140 Kaivopuisto - Ullanlinna   ,Helsinki ,4202,3615
00150 Eira - Hernesaari   ,Helsinki ,5010,4289
00160 Katajanokka   ,Helsinki ,2395,2075
00170 Kruununhaka   ,Helsinki ,3981,3410
00180 Kamppi - Ruoholahti   ,Helsinki ,6850,6307
00190 Suomenlinna   ,Helsinki ,403,389
00200 Lauttasaari   ,Helsinki ,8142,6779
00210 Vattuniemi   ,Helsinki ,4146,3551
00220 Jätkäsaari   ,Helsinki ,1563,1355
00230 Ilmala   ,Helsinki ,0,0
00240 Länsi-Pasila   ,Helsinki ,2804,2334
00250 Taka-Töölö   ,Helsinki ,6097,4982
00260 Keski-Töölö   ,Helsinki ,2959,2463
00270 Pohjois-Meilahti   ,Helsinki ,4323,3321
00280 Ruskeasuo   ,Helsinki ,1705,1295
00290 Meilahden sairaala-alue   ,Helsinki ,98,63
00300 Pikku Huopalahti   ,Helsinki ,3232,2625
00310 Kivihaka   ,Helsinki ,490,406
00320 Etelä-Haaga   ,Helsinki ,5442,4284
00330 Munkkiniemi   ,Helsinki ,5016,3848
00340 Kuusisaari-Lehtisaari   ,Helsinki ,841,813
00350 Munkkivuori-Niemenmäki   ,Helsinki ,5102,4213
00360 Pajamäki   ,Helsinki ,1003,872
00370 Reimarla   ,Helsinki ,3509,3163
00380 Pitäjänmäen teollisuusalue   ,Helsinki ,2234,2122
00390 Konala   ,Helsinki ,3163,3051
00400 Pohjois-Haaga   ,Helsinki ,5145,4305
00410 Malminkartano   ,Helsinki ,4548,4145
00420 Kannelmäki   ,Helsinki ,7437,6432
00430 Maununneva   ,Helsinki ,2493,2391
00440 Lassila   ,Helsinki ,2503,2010
00500 Sörnäinen   ,Helsinki ,6308,6310
00510 Etu-Vallila - Alppila   ,Helsinki ,4626,4352
00520 Itä-Pasila   ,Helsinki ,3584,3389
00530 Kallio   ,Helsinki ,9774,8889
00540 Kalasatama   ,Helsinki ,1117,1015
00550 Vallila   ,Helsinki ,4978,4390
00560 Toukola-Vanhakaupunki   ,Helsinki ,7124,6063
00570 Kulosaari   ,Helsinki ,2048,1776
00580 Verkkosaari   ,Helsinki ,1412,1309
00590 Kaitalahti   ,Helsinki ,191,189
00600 Koskela-Helsinki   ,Helsinki ,2203,1917
00610 Käpylä   ,Helsinki ,4592,3609
00620 Metsälä-Etelä-Oulunkylä   ,Helsinki ,1731,1495
00630 Maunula-Suursuo   ,Helsinki ,4419,3880
00640 Oulunkylä-Patola   ,Helsinki ,4339,3710
00650 Veräjämäki   ,Helsinki ,2266,2079
00660 Länsi-Pakila   ,Helsinki ,3378,3318
00670 Paloheinä   ,Helsinki ,3073,2942
00680 Itä-Pakila   ,Helsinki ,1816,1824
00690 Tuomarinkylä-Torpparinmäki   ,Helsinki ,1430,1348
00700 Malmi   ,Helsinki ,7004,6172
00710 Pihlajamäki   ,Helsinki ,6594,5886
00720 Pukinmäki-Savela   ,Helsinki ,4643,3911
00730 Tapanila   ,Helsinki ,5894,5411
00740 Siltamäki   ,Helsinki ,5268,4933
00750 Puistola   ,Helsinki ,4769,4439
00760 Suurmetsä   ,Helsinki ,3943,3775
00770 Jakomäki - Alppikylä   ,Helsinki ,3454,3184
00780 Tapaninvainio   ,Helsinki ,3626,3406
00790 Viikki   ,Helsinki ,5771,5068
00800 Länsi-Herttoniemi   ,Helsinki ,3872,3340
00810 Herttoniemi   ,Helsinki ,6083,5386
00820 Roihuvuori   ,Helsinki ,3894,3354
00830 Tammisalo   ,Helsinki ,1179,1076
00840 Laajasalo   ,Helsinki ,4525,3765
00850 Jollas   ,Helsinki ,1576,1543
00860 Santahamina   ,Helsinki ,203,222
00870 Etelä-Laajasalo   ,Helsinki ,2583,2271
