zipcode,city,counts
Finland,Finland,5487308
00100 Helsinki Keskusta - Etu-Töölö   ,Helsinki ,17868
00120 Punavuori   ,Helsinki ,7026
00130 Kaartinkaupunki   ,Helsinki ,1536
00140 Kaivopuisto - Ullanlinna   ,Helsinki ,7817
00150 Eira - Hernesaari   ,Helsinki ,9299
00160 Katajanokka   ,Helsinki ,4470
00170 Kruununhaka   ,Helsinki ,7391
00180 Kamppi - Ruoholahti   ,Helsinki ,13157
00190 Suomenlinna   ,Helsinki ,792
00200 Lauttasaari   ,Helsinki ,14921
00210 Vattuniemi   ,Helsinki ,7697
00220 Jätkäsaari   ,Helsinki ,2918
00230 Ilmala   ,Helsinki ,0
00240 Länsi-Pasila   ,Helsinki ,5138
00250 Taka-Töölö   ,Helsinki ,11079
00260 Keski-Töölö   ,Helsinki ,5422
00270 Pohjois-Meilahti   ,Helsinki ,7644
00280 Ruskeasuo   ,Helsinki ,3000
00290 Meilahden sairaala-alue   ,Helsinki ,161
00300 Pikku Huopalahti   ,Helsinki ,5857
00310 Kivihaka   ,Helsinki ,896
00320 Etelä-Haaga   ,Helsinki ,9726
00330 Munkkiniemi   ,Helsinki ,8864
00340 Kuusisaari-Lehtisaari   ,Helsinki ,1654
00350 Munkkivuori-Niemenmäki   ,Helsinki ,9315
00360 Pajamäki   ,Helsinki ,1875
00370 Reimarla   ,Helsinki ,6672
00380 Pitäjänmäen teollisuusalue   ,Helsinki ,4356
00390 Konala   ,Helsinki ,6214
00400 Pohjois-Haaga   ,Helsinki ,9450
00410 Malminkartano   ,Helsinki ,8693
00420 Kannelmäki   ,Helsinki ,13869
00430 Maununneva   ,Helsinki ,4884
00440 Lassila   ,Helsinki ,4513
00500 Sörnäinen   ,Helsinki ,12618
00510 Etu-Vallila - Alppila   ,Helsinki ,8978
00520 Itä-Pasila   ,Helsinki ,6973
00530 Kallio   ,Helsinki ,18663
00540 Kalasatama   ,Helsinki ,2132
00550 Vallila   ,Helsinki ,9368
00560 Toukola-Vanhakaupunki   ,Helsinki ,13187
00570 Kulosaari   ,Helsinki ,3824
00580 Verkkosaari   ,Helsinki ,2721
00590 Kaitalahti   ,Helsinki ,380
00600 Koskela-Helsinki   ,Helsinki ,4120
00610 Käpylä   ,Helsinki ,8201
00620 Metsälä-Etelä-Oulunkylä   ,Helsinki ,3226
00630 Maunula-Suursuo   ,Helsinki ,8299
00640 Oulunkylä-Patola   ,Helsinki ,8049
00650 Veräjämäki   ,Helsinki ,4345
00660 Länsi-Pakila   ,Helsinki ,6696
00670 Paloheinä   ,Helsinki ,6015
00680 Itä-Pakila   ,Helsinki ,3640
00690 Tuomarinkylä-Torpparinmäki   ,Helsinki ,2778
00700 Malmi   ,Helsinki ,13176
00710 Pihlajamäki   ,Helsinki ,12480
00720 Pukinmäki-Savela   ,Helsinki ,8554
00730 Tapanila   ,Helsinki ,11305
00740 Siltamäki   ,Helsinki ,10201
00750 Puistola   ,Helsinki ,9208
00760 Suurmetsä   ,Helsinki ,7718
00770 Jakomäki - Alppikylä   ,Helsinki ,6638
00780 Tapaninvainio   ,Helsinki ,7032
00790 Viikki   ,Helsinki ,10839
00800 Länsi-Herttoniemi   ,Helsinki ,7212
00810 Herttoniemi   ,Helsinki ,11469
00820 Roihuvuori   ,Helsinki ,7248
00830 Tammisalo   ,Helsinki ,2255
00840 Laajasalo   ,Helsinki ,8290
00850 Jollas   ,Helsinki ,3119
00860 Santahamina   ,Helsinki ,425
00870 Etelä-Laajasalo   ,Helsinki ,4854
00880 Roihupellon teollisuusalue   ,Helsinki ,723
00890 Itäsalmi   ,Helsinki ,2056
00900 Puotinharju   ,Helsinki ,4135
00910 Puotila   ,Helsinki ,6231
00920 Myllypuro   ,Helsinki ,12149
00930 Itäkeskus-Marjaniemi   ,Helsinki ,6794
00940 Kontula - Vesala   ,Helsinki ,25817
00950 Vartioharju   ,Helsinki ,5629
00960 Pohjois-Vuosaari   ,Helsinki ,7234
00970 Mellunmäki   ,Helsinki ,10633
00980 Etelä-Vuosaari   ,Helsinki ,22601
00990 Aurinkolahti   ,Helsinki ,8006
01120 Västerskog   ,Sipoo ,1361
01150 Söderkulla   ,Sipoo ,5066
01180 Kalkkiranta   ,Porvoo ,462
01190 Box   ,Sipoo ,1023
01200 Hakunila   ,Vantaa ,12029
01230 Vaarala   ,Vantaa ,2964
01260 Itä-Hakkila   ,Vantaa ,4791
01280 Länsimäki   ,Vantaa ,9472
01300 Tikkurila   ,Vantaa ,18450
01340 Leinelä   ,Vantaa ,612
01350 Hiekkaharju   ,Vantaa ,9904
01360 Koivukylä-Havukoski   ,Vantaa ,12141
01370 Jokiniemi   ,Vantaa ,6468
01380 Kuusikko-Hakkila   ,Vantaa ,1924
01390 Ruskeasanta-Ilola   ,Vantaa ,8957
01400 Rekola   ,Vantaa ,8266
01420 Päiväkumpu   ,Vantaa ,3212
01450 Korso   ,Vantaa ,18357
01480 Mikkola   ,Vantaa ,6256
01490 Nikinmäki   ,Sipoo ,4017
01510 Kirkonkylä-Veromäki   ,Vantaa ,6113
01520 Tammisto   ,Vantaa ,7801
01530 Veromiehenkylä   ,Vantaa ,524
01600 Myyrmäki   ,Vantaa ,16018
01610 Kaivoksela   ,Vantaa ,4703
01620 Martinlaakso   ,Vantaa ,11769
01630 Hämeenkylä   ,Vantaa ,2109
01640 Hämevaara   ,Vantaa ,3312
01650 Vapaala   ,Vantaa ,4005
01660 Varisto   ,Vantaa ,2318
01670 Vantaanlaakso   ,Vantaa ,2708
01680 Askisto   ,Vantaa ,2043
01690 Ylästö   ,Vantaa ,4625
01700 Kivistö   ,Vantaa ,4601
01710 Pähkinärinne   ,Vantaa ,5070
01720 Petikko   ,Vantaa ,67
01730 Vantaanpuisto   ,Vantaa ,2452
01740 Tuupakan teollisuusalue   ,Vantaa ,199
01750 Keimola   ,Vantaa ,843
01760 Seutula   ,Vantaa ,2117
01770 Martinlaakson teollisuusalue   ,Vantaa ,0
01800 Klaukkala Keskus   ,Nurmij„rvi ,7825
01810 Luhtajoki   ,Nurmij„rvi ,723
01820 Haikala   ,Nurmij„rvi ,3449
01830 Lepsämä   ,Nurmij„rvi ,2474
01840 Klaukkala   ,Nurmij„rvi ,4233
01860 Perttula   ,Nurmij„rvi ,2147
01900 Nurmijärvi Keskus   ,Nurmij„rvi ,8991
01940 Palojoki   ,Nurmij„rvi ,773
02100 Tapiola   ,Espoo ,4332
02110 Otsolahti   ,Espoo ,2730
02120 Länsikorkee-Suvikumpu   ,Espoo ,2814
02130 Pohjois-Tapiola   ,Espoo ,5983
02140 Laajalahti   ,Espoo ,3689
02150 Otaniemi   ,Espoo ,3895
02160 Westend   ,Espoo ,3194
02170 Haukilahti   ,Espoo ,5679
02180 Mankkaa   ,Espoo ,6786
02200 Niittykumpu   ,Espoo ,10728
02210 Olari   ,Espoo ,11186
02230 Matinkylä   ,Espoo ,20397
02240 Friisilä   ,Espoo ,2084
02260 Kaitaa   ,Espoo ,3709
02270 Finnoo-Eestinmalmi   ,Espoo ,2279
02280 Malminmäki-Eestinlaakso   ,Espoo ,4435
02290 Puolarmetsän sairaala   ,Espoo ,20
02300 Nöykkiönpuro   ,Espoo ,2526
02320 Espoonlahti   ,Espoo ,16322
02330 Saunalahti-Kattilalaakso   ,Espoo ,8737
